abandonar;leave
abastecer;supply
abastecimiento;catering
abierto;open
ablación;ablation
abogar;plead
abordar;approach
abril;april
absorbar;absorb
abstener;abstain
abuso;maltreatment
acabar;coating
académico;academician
accedar;entree
acceder;to access
accesibl;accessible
accesible;accessible
acceso;entree
accidente;accident
acción;action
acelerado;accelerated
acelerar;speed up
acertado;right
acidez;sourness
acidificación;acidification
acordado;agreed
acordar;agree
actitud;attitude
actitudes;attitudes
activamente;actively
actividad;exercise
activo;active_agent
acto;act
actuación;performance
actual;current
actualidad;present
actualmente;currently
actuar;act
actúar;act
acuerdo;agreement
acuicultura;aquaculture
acumulado;accumulated
acumular;accumulate
acuático;water
acuícolo;aquaculture
acuífero;aquifer
adaptación;adaptation
adaptar;fit
adecuado;appropriate
adecuar;adapt
adelantado;advanced
adelantados;advanced
adicional;additional
adición;addition
adictiva;addictive
administrar;manage
adolescencia;adolescence
adolescente;adolescent
adopción;adoption
adoptado;adopted
adoptar;to adopt
adpic;trips
adqueír;acquire
adquisición;acquisition
adquisitivo;buying
adulto;adult
adverso;adverse
afectado;affected
afectar;to affect
afirmar;say
afortunadamente;fortunately
africano;african
agenda;diary
agotamiento;exhaustion
agrario;agrarian
agravar;aggravate
agravio;grudge
agregado;sum
agresión;assault
agricultor;farmer
agricultora;farmer
agricultura;farming
agroalimentario;agri-food
agroindustria;agroindustry
agronegocio;agribusiness
agropecuario;agricultural
agrícola;agricultural
agua;water
ahorra;save
ahorrar;save money
ahorraríar;would save
aire;air
ajustar;adjust
albergar;seaport
alberguir;shelter
alcance;scope
alcanzado;reached
alcanzar;attain
alcohol;alcohol
alentar;to encourage
alerta;alert
alfabetización;literacy
alfabetizado;literate
alianza;alliance
alianzas;alliances
alimentación;eating
alimentar;feed
alimentario;alimentary
alimento;food
alivio;relief
allanar;smooth
allá;there
almacenar;shop
alta;high
alterar;alter
alternativa;option
alto;tall
altura;height
alumno;student
ambiental;environmental
ambientalmente;environmentally
ambiente;ambient
ambos;both of them
amenaza;menace
